Date,Meat,Seafood,Dairy,Eggs,Fruits,Vegetables,Frozen,Canned,Dry
2010-01-31,48,45,41,51,28,42,40,39,50
2010-02-28,49,41,43,47,30,41,42,38,45
2010-03-31,47,43,38,44,28,39,36,41,32
2010-04-30,49,29,39,54,23,44,43,40,44
2010-05-31,50,43,41,51,36,37,43,38,55
2010-06-30,52,36,44,47,29,44,54,46,42
2010-07-31,48,36,36,45,41,43,56,49,40
2010-08-31,49,33,43,52,31,42,41,37,44
2010-09-30,49,38,38,42,33,31,48,41,46
2010-10-31,49,35,36,38,30,35,40,38,46
2010-11-30,40,35,36,44,26,35,50,28,52
2010-12-31,45,35,40,48,34,37,50,39,45
2011-01-31,55,36,45,48,40,31,44,39,46
2011-02-28,41,42,40,45,34,41,42,37,41
2011-03-31,49,36,45,50,32,32,45,45,46
2011-04-30,57,46,50,50,30,38,45,48,33
2011-05-31,57,46,44,59,28,35,47,46,36
2011-06-30,42,34,37,55,37,45,45,40,53
2011-07-31,46,39,34,41,37,43,52,28,50
2011-08-31,51,36,39,50,36,34,47,31,48
2011-09-30,48,36,36,51,32,31,49,30,47
2011-10-31,51,37,42,42,32,40,51,38,41
2011-11-30,50,41,42,49,39,43,45,34,54
2011-12-31,56,40,42,47,33,48,35,40,36
2012-01-31,43,45,36,46,30,40,49,38,59
2012-02-29,50,39,44,55,44,35,44,37,50
2012-03-31,51,39,43,52,32,38,53,46,53
2012-04-30,57,42,47,53,24,33,50,43,53
2012-05-31,54,42,38,42,23,31,48,41,46
2012-06-30,51,47,44,50,30,44,48,48,50
2012-07-31,52,38,51,53,34,39,40,47,44
2012-08-31,54,40,38,52,36,34,41,34,54
2012-09-30,47,38,41,40,24,33,40,36,52
2012-10-31,56,45,36,46,37,43,42,40,45
2012-11-30,50,46,38,47,40,48,44,44,48
2012-12-31,51,37,51,53,32,30,53,41,43
2013-01-31,51,45,44,39,33,30,43,37,48
2013-02-28,45,31,43,59,35,43,44,44,54
2013-03-31,49,40,36,57,32,39,44,43,40
2013-04-30,53,42,48,43,35,47,43,40,58
2013-05-31,57,43,40,53,34,41,47,38,51
2013-06-30,55,41,37,55,38,33,47,42,55
2013-07-31,54,35,46,56,38,46,45,35,55
2013-08-31,49,41,36,60,25,34,49,39,48
2013-09-30,53,30,47,51,35,28,40,39,42
2013-10-31,47,46,35,40,35,41,48,38,52
2013-11-30,44,44,40,47,47,41,45,45,42
2013-12-31,53,40,46,54,39,43,47,40,34
2014-01-31,54,48,42,48,36,45,45,44,46
2014-02-28,48,43,50,42,32,44,48,37,47
2014-03-31,52,35,46,47,37,43,36,43,50
2014-04-30,59,49,47,55,22,46,48,36,60
2014-05-31,55,42,40,50,36,36,48,47,51
2014-06-30,51,35,42,53,34,49,53,37,57
2014-07-31,62,42,34,55,29,46,52,45,47
2014-08-31,53,47,34,52,37,35,53,41,42
2014-09-30,53,44,38,41,23,42,40,34,43
2014-10-31,50,35,45,43,38,33,50,45,40
2014-11-30,47,32,34,46,28,33,52,40,51
2014-12-31,58,43,43,45,35,41,46,37,51
2015-01-31,47,47,39,54,30,43,43,41,40
2015-02-28,54,38,33,49,38,54,50,40,52
