Date,Meat,Seafood,Dairy,Eggs,Fruits,Vegetables,Frozen,Canned,Dry
2010-01-31,36,51,45,33,44,31,48,44,30
2010-02-28,36,39,44,38,56,34,54,46,31
2010-03-31,39,46,51,31,51,40,48,49,35
2010-04-30,39,49,40,30,43,35,56,45,38
2010-05-31,36,47,42,36,54,27,33,41,38
2010-06-30,46,49,42,34,47,30,45,46,29
2010-07-31,36,47,40,41,45,37,40,40,33
2010-08-31,42,42,45,35,48,42,39,41,29
2010-09-30,39,42,44,33,44,29,47,34,36
2010-10-31,44,38,53,32,48,35,51,41,32
2010-11-30,39,42,52,30,43,27,39,39,27
2010-12-31,41,43,55,31,46,22,58,39,37
2011-01-31,37,41,53,32,52,38,50,47,31
2011-02-28,38,38,43,32,48,37,51,49,30
2011-03-31,41,50,57,28,48,29,53,41,35
2011-04-30,43,45,52,32,46,29,51,53,30
2011-05-31,36,40,49,33,52,37,52,51,31
2011-06-30,47,52,45,29,46,29,44,37,26
2011-07-31,35,45,51,39,44,34,44,50,34
2011-08-31,39,51,42,40,46,35,49,48,30
2011-09-30,46,53,47,33,45,29,47,39,18
2011-10-31,37,47,52,45,41,31,47,45,26
2011-11-30,43,50,52,38,46,39,41,44,27
2011-12-31,36,39,52,40,50,31,57,43,37
2012-01-31,32,48,54,36,48,24,49,37,33
2012-02-29,46,37,37,40,40,40,60,37,36
2012-03-31,34,47,51,34,46,41,54,51,33
2012-04-30,48,42,48,29,51,31,50,45,32
2012-05-31,37,48,45,28,49,41,51,42,32
2012-06-30,36,42,46,41,47,31,52,40,26
2012-07-31,46,52,52,27,53,36,53,47,35
2012-08-31,35,43,47,36,43,41,54,45,40
2012-09-30,41,55,45,42,50,24,39,46,28
2012-10-31,42,50,47,31,49,26,48,44,39
2012-11-30,33,51,47,32,49,32,38,51,35
2012-12-31,43,52,45,26,52,40,52,55,33
2013-01-31,42,44,45,32,50,38,53,53,37
2013-02-28,37,44,39,39,43,31,48,45,32
2013-03-31,37,45,48,27,47,35,52,36,39
2013-04-30,43,45,57,37,54,41,57,50,36
2013-05-31,46,48,43,35,54,31,55,49,35
2013-06-30,40,50,42,35,53,36,53,50,38
2013-07-31,48,57,51,31,42,33,46,49,33
2013-08-31,38,42,44,36,58,44,40,48,33
2013-09-30,43,45,52,29,41,36,48,49,35
2013-10-31,41,45,53,34,41,37,50,46,34
2013-11-30,39,43,45,34,57,28,51,50,33
2013-12-31,41,48,49,38,49,31,53,44,34
2014-01-31,50,54,45,45,56,35,49,54,38
2014-02-28,42,49,43,33,42,36,49,57,38
2014-03-31,34,39,51,42,51,42,54,48,35
2014-04-30,40,43,45,34,48,35,53,39,34
2014-05-31,47,53,37,37,45,35,53,56,22
2014-06-30,44,44,45,40,52,32,60,43,43
2014-07-31,48,50,47,37,53,41,51,46,36
2014-08-31,40,46,49,30,39,40,48,48,37
2014-09-30,27,48,47,40,52,38,52,45,40
2014-10-31,42,41,53,36,54,28,33,50,30
2014-11-30,45,50,41,32,53,23,51,50,33
2014-12-31,41,55,49,34,50,33,48,46,38
2015-01-31,49,41,45,35,45,31,47,48,36
2015-02-28,40,48,42,34,54,38,45,52,42
2015-03-31,45,60,43,46,59,37,50,41,39
2015-04-30,44,52,49,35,53,33,50,38,33
2015-05-31,42,48,40,36,53,46,53,45,37
2015-06-30,49,52,48,40,43,34,46,57,40
2015-07-31,48,37,49,39,47,41,46,42,36
2015-08-31,42,46,47,26,53,34,51,54,23
2015-09-30,41,53,49,39,56,31,52,41,24
2015-10-31,39,54,40,36,52,24,54,45,25
2015-11-30,38,42,42,29,48,53,48,48,41
2015-12-31,44,42,49,42,51,40,52,55,36
2016-01-31,45,35,52,33,46,39,50,43,37
2016-02-29,40,46,50,36,48,32,54,49,41
2016-03-31,41,49,50,34,55,39,62,40,41
2016-04-30,45,49,60,32,50,38,62,49,37
2016-05-31,42,44,50,25,48,34,47,51,49
2016-06-30,49,57,56,35,55,29,54,51,38
2016-07-31,56,57,52,35,49,37,54,46,35
2016-08-31,44,42,47,36,47,38,47,53,38
2016-09-30,47,47,45,30,54,27,49,51,33
2016-10-31,45,56,47,35,49,31,56,44,36
2016-11-30,47,47,57,20,47,34,48,46,32
2016-12-31,45,57,50,44,64,35,51,47,35
